Date,temp_C,HR,windSpeed_m/s,windGust_m/s,pres_mbar,solarRad_W/m2,rain_mm/h,rain_day,Power_kW,Holiday,Hour,Date Day
2018-02-18 17:00:00,15.463333333333331,25.685,0.0,0.0,1021.0,107.59250000000002,0.0,0.0,156.9509305,0.0,17,2018-02-18
2018-02-18 18:00:00,14.8275,25.697499999999994,0.0,0.0,1021.0,4.337416666666667,0.0,0.0,128.61485,0.0,18,2018-02-18
2018-02-18 19:00:00,14.412500000000003,27.38,0.0,0.0,1021.0,0.9160833333333334,0.0,0.0,125.45504790000001,0.0,19,2018-02-18
2018-02-18 20:00:00,13.398333333333333,34.402499999999996,0.03666666666666666,0.23058333333333336,1021.0,0.9623333333333332,0.0,0.0,125.2066088,0.0,20,2018-02-18
2018-02-18 21:00:00,12.975833333333332,37.77916666666666,2.3096666666666668,3.2705000000000006,1021.0,1.0545833333333334,0.0,0.0,124.6636846,0.0,21,2018-02-18
2018-02-18 22:00:00,12.719166666666666,38.58083333333334,2.4914166666666664,3.9832499999999995,1021.0,0.8308333333333332,0.0,0.0,124.87193810000001,0.0,22,2018-02-18
2018-02-18 23:00:00,12.413333333333334,39.6925,3.1168333333333336,4.277,1021.0,0.97625,0.0,0.0,124.4755239,0.0,23,2018-02-18
2018-02-19 00:00:00,12.587499999999999,39.47666666666666,5.737333333333333,6.70825,1021.0,0.9347499999999999,0.0,0.0,120.55093959999999,0.0,0,2018-02-19
2018-02-19 01:00:00,12.553333333333333,40.29,5.4736666666666665,6.603333333333333,1021.0,0.8123333333333332,0.0,0.0,111.98115109999999,0.0,1,2018-02-19
2018-02-19 02:00:00,12.510833333333332,41.93000000000001,5.692,7.001750000000001,1020.5,0.8538333333333333,0.0,0.0,112.46002949999999,0.0,2,2018-02-19
2018-02-19 03:00:00,12.049166666666666,45.17583333333334,3.868,5.303916666666667,1020.0,0.8607499999999999,0.0,0.0,110.68223529999999,0.0,3,2018-02-19
2018-02-19 04:00:00,12.020833333333334,46.156666666666666,2.67475,3.7104166666666667,1020.0,0.8976666666666667,0.0,0.0,110.08614890000001,0.0,4,2018-02-19
2018-02-19 05:00:00,11.674166666666666,47.598333333333336,0.0,0.0,1020.25,0.9853333333333333,0.0,0.0,113.98122190000001,0.0,5,2018-02-19
2018-02-19 06:00:00,11.553333333333335,48.36499999999999,0.0,0.0,1021.0,1.0085,0.0,0.0,126.50468740000001,0.0,6,2018-02-19
2018-02-19 07:00:00,12.104166666666666,45.82916666666667,0.0,0.0,1021.0,8.996166666666667,0.0,0.0,151.6028969,0.0,7,2018-02-19
2018-02-19 08:00:00,12.766666666666666,44.275000000000006,0.0,0.0,1021.3333333333334,86.81833333333334,0.0,0.0,251.886271,0.0,8,2018-02-19
2018-02-19 09:00:00,13.55666666666667,43.54083333333333,0.0,0.0,1021.5833333333334,226.475,0.0,0.0,337.3415773,0.0,9,2018-02-19
2018-02-19 10:00:00,15.188333333333333,39.14833333333333,1.4344166666666671,2.2851666666666666,1021.1666666666666,398.54166666666674,0.0,0.0,345.89462180000004,0.0,10,2018-02-19
2018-02-19 11:00:00,15.715833333333334,36.99,0.41758333333333336,0.9853333333333333,1021.0,508.34999999999997,0.0,0.0,353.1135881,0.0,11,2018-02-19
2018-02-19 12:00:00,15.7975,36.03333333333333,1.0046666666666666,2.3269999999999995,1021.0,576.6666666666666,0.0,0.0,319.6760294,0.0,12,2018-02-19
2018-02-19 13:00:00,16.160833333333333,37.199999999999996,0.0,0.0,1020.0833333333334,425.2833333333333,0.0,0.0,323.63431099999997,0.0,13,2018-02-19
2018-02-19 14:00:00,16.583333333333336,35.09416666666667,0.0,0.0,1019.9166666666666,468.60833333333335,0.0,0.0,365.1684309,0.0,14,2018-02-19
2018-02-19 15:00:00,15.919166666666664,34.62,0.0,0.0,1019.8333333333334,312.8833333333333,0.0,0.0,360.68857369999995,0.0,15,2018-02-19
2018-02-19 16:00:00,14.987500000000002,39.89583333333333,0.0,0.0,1019.0833333333334,141.9333333333333,0.0,0.0,339.8872932,0.0,16,2018-02-19
2018-02-19 17:00:00,13.671666666666667,48.473333333333336,0.0,0.0,1019.9166666666666,59.43583333333333,0.0,0.0,306.59812819999996,0.0,17,2018-02-19
2018-02-19 18:00:00,12.300000000000002,54.88083333333333,0.0,0.0,1020.0,3.6526666666666663,0.0,0.0,231.72419269999997,0.0,18,2018-02-19
2018-02-19 19:00:00,11.683333333333335,58.45583333333334,0.0,0.0,1020.0,1.0015833333333335,0.0,0.0,199.0901367,0.0,19,2018-02-19
2018-02-19 20:00:00,11.344166666666666,64.60083333333334,0.0,0.0,1020.0,1.10325,0.0,0.0,165.8277621,0.0,20,2018-02-19
2018-02-19 21:00:00,11.210833333333333,68.18583333333332,0.0,0.0,1020.0,1.0964166666666668,0.0,0.0,143.5297773,0.0,21,2018-02-19
2018-02-19 22:00:00,11.209166666666668,69.57083333333334,0.09783333333333334,0.31449999999999995,1020.0,1.0522500000000001,0.0,0.0,137.5664017,0.0,22,2018-02-19
2018-02-19 23:00:00,11.319166666666666,68.76333333333334,0.0,0.0,1020.0,1.3039166666666668,0.0,0.0,131.0768459,0.0,23,2018-02-19
2018-02-20 00:00:00,11.390833333333333,66.89666666666666,0.0,0.0,1020.0,0.9554166666666668,0.0,0.0,131.792024,0.0,0,2018-02-20
2018-02-20 01:00:00,11.565000000000003,63.35916666666666,0.0,0.0,1020.0,1.2001666666666668,0.0,0.0,128.59538510000002,0.0,1,2018-02-20
2018-02-20 02:00:00,11.690833333333336,60.08833333333334,0.0,0.0,1020.0,0.9900833333333333,0.0,0.0,128.1223671,0.0,2,2018-02-20
2018-02-20 03:00:00,11.499166666666667,58.895833333333336,0.0,0.0,1020.0,0.757,0.0,0.0,128.6807795,0.0,3,2018-02-20
2018-02-20 04:00:00,11.424166666666666,56.91083333333333,0.0,0.0,1020.0,1.08,0.0,0.0,128.3747829,0.0,4,2018-02-20
2018-02-20 05:00:00,11.2525,55.80249999999999,0.0,0.0,1020.0,1.0986666666666667,0.0,0.0,134.2161366,0.0,5,2018-02-20
2018-02-20 06:00:00,10.695833333333335,59.56333333333333,0.0,0.0,1020.0,1.0385833333333334,0.0,0.0,148.0724245,0.0,6,2018-02-20
2018-02-20 07:00:00,10.633333333333335,61.68833333333333,0.0,0.0,1020.1666666666666,22.317416666666663,0.0,0.0,173.7836737,0.0,7,2018-02-20
2018-02-20 08:00:00,10.551666666666668,62.1825,0.0,0.0,1020.8333333333334,167.60833333333332,0.0,0.0,269.1903578,0.0,8,2018-02-20
2018-02-20 09:00:00,11.9325,53.500833333333325,0.0,0.0,1020.8333333333334,343.3,0.0,0.0,355.9236499,0.0,9,2018-02-20
2018-02-20 10:00:00,12.729999999999999,49.7175,0.0,0.0,1020.75,496.60833333333335,0.0,0.0,367.00461980000006,0.0,10,2018-02-20
2018-02-20 11:00:00,13.834166666666667,48.2475,0.0,0.0,1020.0,604.3916666666667,0.0,0.0,385.3891132,0.0,11,2018-02-20
2018-02-20 12:00:00,15.165,45.065,0.0,0.0,1019.9166666666666,656.3916666666667,0.0,0.0,315.91742,0.0,12,2018-02-20
